,CatalogID,SKU,count
0,3457,RB6T,4
1,4070,60C00,2
2,4282,MB30-P,8
3,5499,E48TA-CONTROL,2
4,5570,OE,8
5,5628,TAD8,11
6,5801,PHOTONSMK,4
7,5965,PROMO-INTG,10
8,6012,*ENFWBF,58
9,6013,*ENFWBRF,27
10,6015,*ENFWBF,96
11,6016,*ENFWBF,96
12,6228,C-VS-1012-INUT,2
13,6262,*TM-5126,2
14,6263,*TA-5502,8
15,6264,*ROC-9821,16
16,6295,VE6,10
17,6300,VE3,6
18,6353,*INTG,10
19,6448,QUADTOW-Q,4
20,6475,GIFTC,4
21,6751,FLEX6-,9
22,6856,MPL10,3
23,6859,MPL32,2
24,6872,RBKTHD4,2
25,6961,OPENBOXPKG-VSX-1800-INUT-PM-3-2,1
26,6978,GARAGE-APOLLO-,3
27,6984,test 111,4
28,7006,mousepad-whelen,5
